"","State","Industry","Series ID","Month","Turnover"
"1","Victoria","Takeaway food services","A3349566A",1982 Apr,48.7
"2","Victoria","Takeaway food services","A3349566A",1982 May,48.9
"3","Victoria","Takeaway food services","A3349566A",1982 Jun,47.1
"4","Victoria","Takeaway food services","A3349566A",1982 Jul,47.5
"5","Victoria","Takeaway food services","A3349566A",1982 Aug,49.3
"6","Victoria","Takeaway food services","A3349566A",1982 Sep,50.7
"7","Victoria","Takeaway food services","A3349566A",1982 Oct,54.1
"8","Victoria","Takeaway food services","A3349566A",1982 Nov,57.3
"9","Victoria","Takeaway food services","A3349566A",1982 Dec,64.1
"10","Victoria","Takeaway food services","A3349566A",1983 Jan,57.7
"11","Victoria","Takeaway food services","A3349566A",1983 Feb,50.2
"12","Victoria","Takeaway food services","A3349566A",1983 Mar,55
"13","Victoria","Takeaway food services","A3349566A",1983 Apr,50.2
"14","Victoria","Takeaway food services","A3349566A",1983 May,52.7
"15","Victoria","Takeaway food services","A3349566A",1983 Jun,46.4
"16","Victoria","Takeaway food services","A3349566A",1983 Jul,49.8
"17","Victoria","Takeaway food services","A3349566A",1983 Aug,53.3
"18","Victoria","Takeaway food services","A3349566A",1983 Sep,54
"19","Victoria","Takeaway food services","A3349566A",1983 Oct,53.1
"20","Victoria","Takeaway food services","A3349566A",1983 Nov,53.9
"21","Victoria","Takeaway food services","A3349566A",1983 Dec,63.3
"22","Victoria","Takeaway food services","A3349566A",1984 Jan,54.2
"23","Victoria","Takeaway food services","A3349566A",1984 Feb,54.8
"24","Victoria","Takeaway food services","A3349566A",1984 Mar,56.4
"25","Victoria","Takeaway food services","A3349566A",1984 Apr,53
"26","Victoria","Takeaway food services","A3349566A",1984 May,57.3
"27","Victoria","Takeaway food services","A3349566A",1984 Jun,51.4
"28","Victoria","Takeaway food services","A3349566A",1984 Jul,52
"29","Victoria","Takeaway food services","A3349566A",1984 Aug,51.4
"30","Victoria","Takeaway food services","A3349566A",1984 Sep,50.5
"31","Victoria","Takeaway food services","A3349566A",1984 Oct,52.5
"32","Victoria","Takeaway food services","A3349566A",1984 Nov,55.5
"33","Victoria","Takeaway food services","A3349566A",1984 Dec,58.6
"34","Victoria","Takeaway food services","A3349566A",1985 Jan,52.5
"35","Victoria","Takeaway food services","A3349566A",1985 Feb,50.6
"36","Victoria","Takeaway food services","A3349566A",1985 Mar,51.3
"37","Victoria","Takeaway food services","A3349566A",1985 Apr,55.9
"38","Victoria","Takeaway food services","A3349566A",1985 May,56
"39","Victoria","Takeaway food services","A3349566A",1985 Jun,49.7
"40","Victoria","Takeaway food services","A3349566A",1985 Jul,52.1
"41","Victoria","Takeaway food services","A3349566A",1985 Aug,56.4
"42","Victoria","Takeaway food services","A3349566A",1985 Sep,56
"43","Victoria","Takeaway food services","A3349566A",1985 Oct,59.6
"44","Victoria","Takeaway food services","A3349566A",1985 Nov,59.4
"45","Victoria","Takeaway food services","A3349566A",1985 Dec,62.8
"46","Victoria","Takeaway food services","A3349566A",1986 Jan,64.1
"47","Victoria","Takeaway food services","A3349566A",1986 Feb,57.2
"48","Victoria","Takeaway food services","A3349566A",1986 Mar,61.2
"49","Victoria","Takeaway food services","A3349566A",1986 Apr,58.3
"50","Victoria","Takeaway food services","A3349566A",1986 May,61.5
"51","Victoria","Takeaway food services","A3349566A",1986 Jun,57.9
"52","Victoria","Takeaway food services","A3349566A",1986 Jul,65.9
"53","Victoria","Takeaway food services","A3349566A",1986 Aug,72
"54","Victoria","Takeaway food services","A3349566A",1986 Sep,71.7
"55","Victoria","Takeaway food services","A3349566A",1986 Oct,77.1
"56","Victoria","Takeaway food services","A3349566A",1986 Nov,75.6
"57","Victoria","Takeaway food services","A3349566A",1986 Dec,82
"58","Victoria","Takeaway food services","A3349566A",1987 Jan,83.5
"59","Victoria","Takeaway food services","A3349566A",1987 Feb,76.2
"60","Victoria","Takeaway food services","A3349566A",1987 Mar,77.9
"61","Victoria","Takeaway food services","A3349566A",1987 Apr,83
"62","Victoria","Takeaway food services","A3349566A",1987 May,83.1
"63","Victoria","Takeaway food services","A3349566A",1987 Jun,81.8
"64","Victoria","Takeaway food services","A3349566A",1987 Jul,85.1
"65","Victoria","Takeaway food services","A3349566A",1987 Aug,85
"66","Victoria","Takeaway food services","A3349566A",1987 Sep,85.7
"67","Victoria","Takeaway food services","A3349566A",1987 Oct,90.9
"68","Victoria","Takeaway food services","A3349566A",1987 Nov,87.4
"69","Victoria","Takeaway food services","A3349566A",1987 Dec,103.2
"70","Victoria","Takeaway food services","A3349566A",1988 Jan,87.4
"71","Victoria","Takeaway food services","A3349566A",1988 Feb,87.7
"72","Victoria","Takeaway food services","A3349566A",1988 Mar,92.5
"73","Victoria","Takeaway food services","A3349566A",1988 Apr,95.3
"74","Victoria","Takeaway food services","A3349566A",1988 May,88.8
"75","Victoria","Takeaway food services","A3349566A",1988 Jun,90.3
"76","Victoria","Takeaway food services","A3349566A",1988 Jul,85.5
"77","Victoria","Takeaway food services","A3349566A",1988 Aug,91.2
"78","Victoria","Takeaway food services","A3349566A",1988 Sep,98.4
"79","Victoria","Takeaway food services","A3349566A",1988 Oct,99.1
"80","Victoria","Takeaway food services","A3349566A",1988 Nov,104.9
"81","Victoria","Takeaway food services","A3349566A",1988 Dec,108.4
"82","Victoria","Takeaway food services","A3349566A",1989 Jan,96.1
"83","Victoria","Takeaway food services","A3349566A",1989 Feb,96.6
"84","Victoria","Takeaway food services","A3349566A",1989 Mar,97.5
"85","Victoria","Takeaway food services","A3349566A",1989 Apr,98.5
"86","Victoria","Takeaway food services","A3349566A",1989 May,97.5
"87","Victoria","Takeaway food services","A3349566A",1989 Jun,94.4
"88","Victoria","Takeaway food services","A3349566A",1989 Jul,93.7
"89","Victoria","Takeaway food services","A3349566A",1989 Aug,90.2
"90","Victoria","Takeaway food services","A3349566A",1989 Sep,96.3
"91","Victoria","Takeaway food services","A3349566A",1989 Oct,111.9
"92","Victoria","Takeaway food services","A3349566A",1989 Nov,111.8
"93","Victoria","Takeaway food services","A3349566A",1989 Dec,118.5
"94","Victoria","Takeaway food services","A3349566A",1990 Jan,106.9
"95","Victoria","Takeaway food services","A3349566A",1990 Feb,95.4
"96","Victoria","Takeaway food services","A3349566A",1990 Mar,100.2
"97","Victoria","Takeaway food services","A3349566A",1990 Apr,95
"98","Victoria","Takeaway food services","A3349566A",1990 May,92.6
"99","Victoria","Takeaway food services","A3349566A",1990 Jun,97.3
"100","Victoria","Takeaway food services","A3349566A",1990 Jul,98.1
"101","Victoria","Takeaway food services","A3349566A",1990 Aug,97.6
"102","Victoria","Takeaway food services","A3349566A",1990 Sep,90.3
"103","Victoria","Takeaway food services","A3349566A",1990 Oct,94
"104","Victoria","Takeaway food services","A3349566A",1990 Nov,94.9
"105","Victoria","Takeaway food services","A3349566A",1990 Dec,116
"106","Victoria","Takeaway food services","A3349566A",1991 Jan,103.6
"107","Victoria","Takeaway food services","A3349566A",1991 Feb,87
"108","Victoria","Takeaway food services","A3349566A",1991 Mar,95.9
"109","Victoria","Takeaway food services","A3349566A",1991 Apr,94.2
"110","Victoria","Takeaway food services","A3349566A",1991 May,98
"111","Victoria","Takeaway food services","A3349566A",1991 Jun,98.1
"112","Victoria","Takeaway food services","A3349566A",1991 Jul,96.7
"113","Victoria","Takeaway food services","A3349566A",1991 Aug,98
"114","Victoria","Takeaway food services","A3349566A",1991 Sep,98.6
"115","Victoria","Takeaway food services","A3349566A",1991 Oct,104.2
"116","Victoria","Takeaway food services","A3349566A",1991 Nov,106
